coordenada x [mm];coordenada y [mm];frecuencia de fallos;aciertos
47.25;0;0;1
-47.25;0;1;0.5
56.48802394;-12.00690014;0;1
-56.48802394;12.00690014;0;1
56.48802394;12.00690014;0;1
-56.48802394;-12.00690014;0;1
64.90960724;-21.09040987;0;1
-64.90960724;21.09040987;0;1
68.25;0;1;0.5
-68.25;0;0;1
64.90960724;21.09040987;0;1
-64.90960724;-21.09040987;0;1
73.21989826;-28.98980852;0;1
-73.21989826;28.98980852;0;1
78.12903273;-9.869992143;0;1
-78.12903273;9.869992143;0;1
78.12903273;9.869992143;0;1
-78.12903273;-9.869992143;0;1
73.21989826;28.98980852;0;1
-73.21989826;-28.98980852;0;1
81.53393209;-36.30124539;0;1
-81.53393209;36.30124539;0;1
87.29967337;-18.55611841;1;0.5
-87.29967337;18.55611841;0;1
89.25;0;0;1
-89.25;0;0;1
87.29967337;18.55611841;0;1
-87.29967337;-18.55611841;0;1
81.53393209;36.30124539;0;1
-81.53393209;-36.30124539;0;1
89.87164457;-43.27990298;0;1
-89.87164457;43.27990298;0;1
96.15529535;-26.53717535;1;0.5
-96.15529535;26.53717535;0;1
99.34843583;-8.941521063;0;1
-99.34843583;8.941521063;0;1
99.34843583;8.941521063;0;1
-99.34843583;-8.941521063;0;1
96.15529535;26.53717535;0;1
-96.15529535;-26.53717535;0;1
89.87164457;43.27990298;0;1
-89.87164457;-43.27990298;0;1
